Company,Executive,Title,Since,Notes,Updated
Goldman Sachs,David M. Solomon,CEO,2018,"Previously with Proskauer Rose and Donovan, Leisure, Newton & Irvine",2019-05-09
Google,Sundar Pichai,CEO,2015,Former director of Jive Software from 2011 to 2013,2017-11-13
GMA Network,Felipe Gozon,Chairman and CEO,2000,A member of the board since 1975,2017-11-13
GVK Industries,Gunupati Venkata Krishna Reddy,Chairman and MD,1992,Founder of the firm,2017-11-13
HCL Technologies,C Vijayakumar,President and CEO,2016,"Joined the firm in 1994, previously the COO",2017-11-13
Henderson Land Development,Lee Shau Kee,Chairman and MD,1976,"Founder of the firm, and one of the richest men in the world",2017-11-13
Hewlett Packard Enterprise,Antonio Neri,President and Chief Executive Officer,2015,25 years with HP,2021-04-11
Honeywell,Darius Adamczyk,"Chairman, President, and CEO",2017,Succeeded David M. Cote (now the executive chairman),2017-11-13
HP Hood,John A. Kaneb,"Chairman, president and CEO",1995,Acquired the firm in 1995 from Agway,2017-11-13
HSBC,Noel Quinn,Group CEO,2019,Succeeded John Flint.,2017-11-13
IBM,Arvind Krishna,"Chairman, president and CEO",2020,Succeeded Ginni Rometty.,2020-04-06
IMS Group,Dikesh Malhotra,President and CEO,2012,"Son of Founder and Chairman of IMS Group, Deepak Malhotra",2018-11-11
Infosys,Salil Parekh,Interim CEO and MD,2018,Previously on the board of Capgemini,2018-02-20
Intel,Pat Gelsinger,CEO,2021,Replaced Robert H. Swan,2021-03-22
J.Crew,Millard Drexler,CEO,2017,"Previously with West Elm, J. C. Penney, May Company, Anthropologie, and Urban Outfitters",2017-11-13
Jefferies Group,Richard B. Handler,Chairman and CEO,2001,Longest tenured CEO of a major Wall Street firm,2017-11-13
JP Morgan Chase,James Dimon,Chairman and CEO,2004,Also on the board of the New York Federal Reserve,2017-11-13
Kaplan,Andrew S. Rosen,Chairman and CEO,2002,Previously with The Washington Post and Newsweek,2017-11-13
KLM,Pieter Elbers,CEO & President,2000,Previously CEO of Transavia France,
Koch Industries,Charles G. Koch,Chairman and CEO,1967,Son of co-founder Fred C. Koch,2017-11-13
Kodak,Jeff Clarke,CEO,2014,Member of the boards of Autodesk and the State University of New York at Geneseo,2017-11-14
Land Securities,Robert Noel,CEO,2012,Succeeded Francis Salway,2017-11-13
Las Vegas Sands,Robert Goldstein,Chairman and CEO,2021,Succeeded Sheldon Adelson,2017-11-13
"Bath & Body Works, Inc.",Andrew Meslow,CEO,2020,Succeeded Les Wexner,2021-12-01
Lockheed Martin,Marillyn Hewson,"Chairman, president and CEO",2013,Also serves on the board of Sandia National Laboratories and DuPont,2017-11-13
Marks & Spencer,Steve Rowe,CEO,2016,"Joined the firm in 1989, previously executive director of General Merchandise",2017-11-13
McDonald's,Chris Kempczinski,President and CEO,2019,With the company since 2014,2017-11-13
McKinsey & Company,Kevin Sneader,Global managing partner,2009,Succeeded Ian Davis,2017-11-13
Mesa Air Group,Jonathan Ornstein,Chairman and CEO,1998,Formerly led Virgin Express and Continental Express,2017-11-13
MetLife,Steven A. Kandarian,"Chairman, president and CEO",2011,Previously executive director for Pension Benefit Guaranty Corporation,2017-11-13
MGA Entertainment,Isaac Larian,CEO,1979,Co-founded the company,2017-11-13
Microsoft,Satya Nadella,CEO,2014,Was executive vice president of Microsoft's Cloud and Enterprise group,2017-11-13
MicroStrategy,Michael J. Saylor,Chairman and CEO,1989,Founder of the firm,2018-02-08
Morgan Stanley,James P. Gorman,Chairman and CEO,2010,Formerly with Merrill Lynch,2017-11-13
Mossy Oak,Toxey Haas,Founder and CEO,1986,Founder of the firm,2017-11-13
Mozilla Corporation,Chris Beard,CEO,2014,Previously CFO,2017-11-13
NBCUniversal,Jeff Shell,CEO,2020,Previously was Chairman of NBCUniversal Film and Entertainment,2020-03-02
News Corp,Robert James Thomson,CEO,2013,Previously managing editor of The Wall Street Journal,2017-11-12
New York Times Company,Mark Thompson,President and CEO,2012,Succeeded Janet L. Robinson and was previously Director-General of the BBC,2017-11-12
Nike,Mark Parker,Chairman and CEO,2006,Third CEO of the company,2017-11-12
Nokia,Pekka Lundmark,President and CEO,2020,Previously President and CEO of Fortum,2020-08-16
Novartis,Vasant Narasimhan,CEO,2017,Former engineer for Public Service Enterprise Group,2017-11-12
Nintendo,Tatsumi Kimishima,Representative director and president,2015,Succeeded Satoru Iwata after his death,2017-11-12
Oath,Tim Armstrong,CEO,2009,"Oath is the parent to AOL, Armstrong was formerly with Google",2017-11-15
Oracle Corporation,Safra Catz,CEO,2014,Co-CEO following Larry Ellison,2017-11-12
Oracle Corporation,Mark Hurd,CEO,2014,Co-CEO following Larry Ellison; previously with Hewlett-Packard,2017-11-12
PepsiCo,Ramon Laguarta,CEO,2018,Succeeded Indra Nooyi who is still the Chairman until 2019.,2017-11-12
Pfizer,Albert Bourla,Chairman and CEO,2019,Succeeded Jeff Kindler and Henry McKinnell,
Polo Ralph Lauren,Patrice Louvet,President and CEO,2017,Follows Stefan Larsson and Ralph Lauren,2017-11-12
Procter & Gamble,David S. Taylor,President and CEO,2015,Succeeded A.G. Lafley,2017-11-12
Prudential Financial,John Strangfeld,Chairman and CEO,2008,With the firm since 1977,2017-11-12
Qantas,Alan Joyce,CEO and MD,2008,Formerly with Aer Lingus and Ansett Australia,2017-11-12
Reliance Group,Anil Ambani,Chairman,2006,Son of founder Dhirubhai Ambani,2017-11-12
Reliance Industries,Mukesh Ambani,Chairman and MD,2002,One of India's wealthiest people,2017-11-12
Renault,Luca de Meo,CEO,2005,Former CEO of Nissan,2017-11-12
Riovic,Phiwa Nkambule,CEO,2015,Previously founded Cybatar in 2014. Co-founded Riovic in 2015.,2018-07-19
Royal Bank of Canada,David I. McKay,President and CEO,2014,Succeeded Gordon Nixon,2017-11-12
Royal Bank of Scotland,Ross McEwan,CEO,2013,Succeeded Stephen Hester,2017-11-12
Royal Dutch Shell,Ben van Beurden,CEO,2014,"Joined Shell in 1983, succeeded Peter Voser",2017-11-12
Ryanair,Michael O'Leary,CEO,1994,One of Ireland's wealthiest businessmen,2017-11-12
S&P Global,Douglas L. Peterson,President & CEO,2013,,2018-10-01
SC Johnson,Herbert Fisk Johnson III,Chairman and CEO,2004,Great-great grandson of company founder Samuel Curtis Johnson Sr.,2017-11-12
The Salvation Army,Brian Peddle,General and CEO,2018,Joined the organization in 1977,2018-08-13
Samsung,Oh-Hyun Kwon,Chairman and CEO,2012,Joined the firm in 1985,2017-11-12
SAP,Christian Klein,CEO,2019,Succeeding Bill McDermott in 2019,2019-11-18
SAS Institute,James Goodnight,CEO,1976,Founded the company after leaving North Carolina State University,2017-11-12
Schneider Electric,Jean-Pascal Tricoire,Chairman and CEO,2006,Replaced Henri Lachmann,2017-11-12
Siemens,Roland Busch,President and CEO,2013,Succeeds Peter Löscher,2017-11-12
Simon Property Group,David Simon,Chairman and CEO,1995,Son of founder and real estate developer Melvin Simon,2017-11-12
Singtel,Chua Sock Koong,Group CEO,2007,Joined the firm in 1989,2017-11-12
SoftBank,Masayoshi Son,Chairman and CEO,1981,"Founder of the firm, also chairman of Sprint Corporation",2017-11-12
Solera Holdings,Tony Aquila,Chairman and CEO,2005,Previously COO of Mitchell International,2017-11-12
Southwest Airlines,Gary C. Kelly,Chairman and CEO,2008,Replaced co-founder Herb Kelleher,2017-11-12
Sonic Corporation,J. Clifford Hudson,"Chairman, CEO and president",1995,Also a trustee for the Ford Foundation,2017-11-12
Starbucks,Kevin Johnson,President and CEO,2017,Previously CEO for Juniper Networks; succeeds Howard Schultz,2017-11-11
Sun Hung Kai Properties,Raymond Kwok,Chairman and MD,2011,Has been with the firm since 1978,2017-11-11
Sun Pharmaceutical,Dilip Shanghvi,MD,1983,Has led the firm since its founding,2017-11-11
SunTrust Banks,William H. Rogers Jr.,Chairman and CEO,2011,"Succeeded James M. Wells, III",2017-11-11
Syntel,Rakesh Khanna,CEO and president,2016,Previously the firm's chief operating office,2017-11-11
Target Corporation,Brian Cornell,Chairman and CEO,2014,Succeeded Gregg Steinhafel,2017-11-11
Tata Consultancy Services,Rajesh Gopinathan,CEO and MD,2016,Replaced N Chandrasekaran,2017-11-11
TCL Corporation,Li Dongsheng,CEO & Founder[citation needed],1981,Been with the company since the beginning,
Telstra,Andy Penn,CEO,2015,Previously CFO,2017-11-11
Temasek Holdings,Ho Ching,CEO,2002,Listed as one of the most powerful woman in the world by Forbes,2017-11-11
Tesco,Dave Lewis,Group CEO,2014,Previously with Unilever,2017-11-11
Tesla,Elon Musk,CEO,2008,Previously board member of Tesla,2018-11-11
The Travelers Companies,Alan D. Schnitzer,Chairman and CEO,2015,Previously over the firm's Business and International Insurance segment,2017-11-11
Toyota,Akio Toyoda,President and director,2009,"Son of Shoichiro Toyoda, the former chairman",2017-11-11
T Rowe Price,Bill Stromberg,President and CEO,2016,Has been with the firm since 1987,2017-02-24
Twitter,Elon Musk,CEO,2021,Succeeded Jack Dorsey,2021-11-30
United Airlines,Scott Kirby,CEO,2020,Previously with American Airlines,2021-11-11
UBS,Ralph Hamers,Group CEO,2020,Previously with ING Group,2017-11-11
Bausch Health,Joseph C. Papa,Chairman and CEO,2016,Succeeding J. Michael Pearson,2017-11-11
Verizon Communications,Hans Vestberg,Chairman and CEO,2018,Replaced Lowell McAdam,2019-03-31
ViacomCBS,Robert Bakish,President and CEO,2019,Has been with the firm since 1997,2020-03-02
Vodafone,Vittorio Colao,CEO,2008,Also director at Unilever,2017-11-11
Volkswagen Group,Herbert Diess,Chairman of the Management Board/CEO,2018,Succeeded Matthias Müller,2017-11-11
Vulcan,Bill Hilf,CEO,2016,Succeeded Paul Allen,2017-11-11
Walt Disney Company,Robert Iger,CEO,2020,"Previously led Disney Parks, Experiences and Products",2020-03-02
Walgreens Boots Alliance,Stefano Pessina,Executive vice chairman and CEO,2015,Holding company of Walgreens and Boots UK,2017-11-11
Walmart,Doug McMillon,President and CEO,2014,Previously lead for Sam's Club,2017-11-11
Warner Brothers,Ann Sarnoff,Chairwoman and CEO,2019,First woman to hold the position at the company; succeeded Kevin Tsujihara,2019-10-10
WarnerMedia,Jason Kilar,CEO,2020,Previously with Hulu and Amazon,2020-11-19
Wells Fargo,Charles Scharf,CEO and president,2019,"Succeeded John Stumpf, previously COO",
Whole Foods Market,John Mackey,CEO,1980,Co-founder,2017-11-11
Williams-Sonoma,Laura J. Alber,President and CEO,2010,Replaced W. Howard Lester,2017-11-11
WWE,Stephanie McMahon,Chairwoman and Co-CEO (Alongside Nick Khan) ,2022,Chairwoman of the executive committee Chairwoman since 2022  CEO since July 22 2022,2017-11-11
Yum! Brands,Greg Creed,CEO,2015,Previously CEO for Taco Bell,2017-11-11
Zillow Group,Rich Barton,CEO,2019,Co-founder and previously was Zillow's CEO for nearly a decade. Succeeded Spencer Rascoff.,2018-12-10
Zoom Video Communications,Eric Yuan,"President, Chairman and CEO",2011,Previously corporate Vice President of engineering at Cisco,2020-10-12
